Brand,Model,Price,Boite vitesse,Cylindrée,Nombre de portes,Puissance fiscale,Kilométrage,Age,Essence,Diesel,Electric
Mg,Rx5,113.95,True,1.49,5,10,0.0,0,True,False,False
Mg,Ezs,116.95,True,,5,9,0.0,0,False,False,False
Mg,Ehs,144.95,True,1.49,5,9,0.0,0,True,False,True
Mg,Marvel_R,149.95,True,,5,5,0.0,0,False,False,False
Mg,Rx8,174.95,True,1.995,5,16,0.0,0,True,False,False
Mini,3_Portes,198.9,True,1.499,3,9,0.0,0,True,False,False
Mini,Countryman,159.0,True,1.499,5,9,0.0,0,True,False,False
Mini,Countryman,195.9,True,1.499,5,9,0.0,0,True,False,False
Mini,Countryman,215.0,True,1.499,5,9,0.0,0,True,False,False
Mitsubishi,Attrage_Populaire,34.662,False,1.193,4,4,0.0,0,True,False,False
Mitsubishi,Eclipse_Cross,107.0,True,1.499,5,8,0.0,0,True,False,False
Mitsubishi,Asx,131.7,True,1.998,5,9,0.0,0,True,False,False
Mitsubishi,L200_Double_Cabine,155.0,False,2.477,4,8,0.0,0,False,True,False
Mitsubishi,Pajero,196.5,False,2.835,5,11,0.0,0,False,True,False
Mitsubishi,Pajero_Sport,243.567,False,2.442,5,11,0.0,0,False,True,False
Mitsubishi,Pajero_Sport,267.77,True,2.442,5,11,0.0,0,False,True,False
Nissan,Juke,87.5,False,0.999,5,6,0.0,0,True,False,False
Nissan,Juke,94.5,True,0.999,5,6,0.0,0,True,False,False
Nissan,Juke,95.5,True,0.999,5,6,0.0,0,True,False,False
Nissan,Qashqai,143.5,True,1.332,5,8,0.0,0,True,False,False
Nissan,Qashqai,144.5,True,1.332,5,8,0.0,0,True,False,False
Nissan,Qashqai,148.5,True,1.332,5,8,0.0,0,True,False,False
Nissan,Qashqai_E_Power,155.9,True,1.497,5,8,0.0,0,True,False,True
Opel,Corsa,71.9,False,1.199,5,6,0.0,0,True,False,False
Opel,Corsa,76.9,False,1.199,5,6,0.0,0,True,False,False
Opel,Crossland,79.9,True,1.199,5,6,0.0,0,True,False,False
Opel,Crossland,89.9,True,1.199,5,6,0.0,0,True,False,False
Opel,Mokka,109.9,True,1.199,5,7,0.0,0,True,False,False
Opel,Mokka,110.9,True,1.199,5,7,0.0,0,True,False,False
Opel,Astra,105.9,True,1.199,5,7,0.0,0,True,False,False
Opel,Astra,112.9,True,1.199,5,7,0.0,0,True,False,False
Opel,Combo,66.9,False,1.56,3,5,0.0,0,False,True,False
Opel,Combo,67.49,False,1.56,3,5,0.0,0,False,True,False
Opel,Combo,69.9,False,1.56,3,5,0.0,0,False,True,False
Peugeot,208,64.49,False,1.199,5,4,0.0,0,True,False,False
Peugeot,2008,97.9,True,1.199,5,7,0.0,0,True,False,False
Peugeot,2008,104.9,True,1.199,5,7,0.0,0,True,False,False
Peugeot,308,105.9,True,1.199,5,7,0.0,0,True,False,False
Peugeot,308_Gt,120.9,True,1.199,5,7,0.0,0,True,False,False
Peugeot,3008,149.9,True,1.598,5,9,0.0,0,True,False,False
Peugeot,3008_Gt_Line,169.9,True,1.598,5,9,0.0,0,True,False,False
Peugeot,408,148.9,True,1.598,4,13,0.0,0,True,False,False
Peugeot,408,149.9,True,1.598,4,13,0.0,0,True,False,False
Peugeot,408_Gt,160.9,True,1.598,4,13,0.0,0,True,False,False
Peugeot,5008_Gt_Line,186.9,True,1.598,5,9,0.0,0,True,False,False
Peugeot,Rifter,100.9,False,1.56,5,5,0.0,0,False,True,False
Peugeot,Expert_Combi,151.9,False,1.997,5,8,0.0,0,False,True,False
Peugeot,Traveller,171.9,False,1.997,5,8,0.0,0,False,True,False
Peugeot,Partner,67.49,False,1.56,3,5,0.0,0,False,True,False
Peugeot,Partner,68.49,False,1.56,3,5,0.0,0,False,True,False
Peugeot,Expert,84.9,False,1.997,5,9,0.0,0,False,True,False
Peugeot,Boxer,89.9,False,2.179,4,7,0.0,0,False,True,False
Peugeot,Boxer,91.9,False,2.179,4,7,0.0,0,False,True,False
Peugeot,Boxer,93.9,False,2.179,4,7,0.0,0,False,True,False
Peugeot,Boxer_Plateau_Double_Cabine,109.9,False,2.179,4,7,0.0,0,False,True,False
Peugeot,Landtrek_Simple_Cabine,75.49,False,1.91,2,6,0.0,0,False,True,False
Peugeot,Landtrek_Simple_Cabine,79.49,False,1.91,2,6,0.0,0,False,True,False
Peugeot,Landtrek_Double_Cabine,92.99,False,1.91,4,6,0.0,0,False,True,False
Peugeot,Landtrek_Double_Cabine,102.99,False,1.91,4,6,0.0,0,False,True,False
Peugeot,Landtrek_Double_Cabine,106.99,False,1.91,4,6,0.0,0,False,True,False
Porsche,Macan,424.0,True,1.984,5,17,0.0,0,True,False,False
Porsche,Cayenne,600.0,True,2.995,5,20,0.0,0,True,False,True
Porsche,Cayenne_Coupe,615.0,True,2.995,5,20,0.0,0,True,False,True
Porsche,Taycan,463.0,True,,4,16,0.0,0,False,False,False
Porsche,Taycan_Cross_Turismo,540.0,True,,5,16,0.0,0,False,False,False
Porsche,911,845.0,True,2.981,2,26,0.0,0,True,False,False
Renault,Clio,64.95,False,0.999,5,6,0.0,0,True,False,False
Renault,Megane,94.95,False,1.332,5,8,0.0,0,True,False,False
Renault,Megane_Sedan,101.65,False,1.332,4,8,0.0,0,True,False,False
Renault,Megane_Sedan,109.95,True,1.332,4,8,0.0,0,True,False,False
Renault,Austral,134.9,True,1.332,5,8,0.0,0,True,False,False
Renault,Express_Van,57.55,False,1.461,4,5,0.0,0,False,True,False
Renault,Express_Combi,88.9,False,1.461,5,5,0.0,0,False,True,False
Renault,Master,84.9,False,2.298,2,8,0.0,0,False,True,False
Renault,Master,87.95,False,2.298,2,8,0.0,0,False,True,False
Renault,Master,89.95,False,2.298,2,8,0.0,0,False,True,False
Seat,Ibiza,75.98,True,0.999,5,6,0.0,0,True,False,False
Seat,Ibiza,75.98,False,0.999,5,6,0.0,0,True,False,False
Seat,Ibiza,84.98,True,0.999,5,6,0.0,0,True,False,False
Seat,Ibiza,87.98,True,0.999,5,6,0.0,0,True,False,False
Seat,Arona,87.98,True,0.999,5,6,0.0,0,True,False,False
Seat,Arona,94.98,True,0.999,5,6,0.0,0,True,False,False
Seat,Arona,97.98,True,0.999,5,6,0.0,0,True,False,False
Seat,Leon,99.98,True,1.395,5,8,0.0,0,True,False,False
Seat,Leon,118.98,True,1.395,5,8,0.0,0,True,False,False
Seat,Ateca,124.98,True,1.395,5,8,0.0,0,True,False,False
Seat,Ateca,136.98,True,1.395,5,8,0.0,0,True,False,False
Seat,Ateca,139.98,True,1.395,5,8,0.0,0,True,False,False
Skoda,Fabia,66.98,False,0.999,5,4,0.0,0,True,False,False
Skoda,Fabia,71.48,False,0.999,5,4,0.0,0,True,False,False
Skoda,Fabia,82.48,False,0.999,5,4,0.0,0,True,False,False
Skoda,Kushaq,76.98,False,0.999,5,6,0.0,0,True,False,False
Skoda,Kushaq,82.98,True,0.999,5,7,0.0,0,True,False,False
Skoda,Kushaq,89.98,True,0.999,5,7,0.0,0,True,False,False
Skoda,Scala,88.98,True,0.999,5,6,0.0,0,True,False,False
Skoda,Scala,102.98,True,0.999,5,6,0.0,0,True,False,False
Skoda,Scala,107.98,True,0.999,5,6,0.0,0,True,False,False
Skoda,Kamiq,91.98,True,0.999,5,6,0.0,0,True,False,False
Skoda,Kamiq,104.98,True,0.999,5,6,0.0,0,True,False,False
Skoda,Kamiq,109.98,True,0.999,5,6,0.0,0,True,False,False
Skoda,Octavia,119.98,True,1.395,4,8,0.0,0,True,False,False
Skoda,Octavia,129.98,True,1.395,4,8,0.0,0,True,False,False
