Brand,Model,Price,Boite vitesse,Cylindrée,Puissance fiscale,Kilométrage,Age,Essence,Diesel,Electric
Kia,Sportage,140.98,True,1.598,10,0.0,0.0,True,False,False
Kia,Sportage,152.98,True,1.598,10,0.0,0.0,True,False,False
Kia,Sportage_Hybride,174.98,True,1.598,10,0.0,0.0,True,False,True
Kia,Sportage_Hybride,189.98,True,1.598,10,0.0,0.0,True,False,True
Land_Rover,Range_Rover_Evoque,340.0,True,1.999,9,0.0,0.0,False,True,False
Land_Rover,Range_Rover_Evoque,341.7,True,1.997,12,0.0,0.0,True,False,False
Land_Rover,Defender_90,398.0,True,1.997,21,0.0,0.0,True,False,False
Land_Rover,Defender,364.2,True,2.996,29,0.0,0.0,True,False,True
Land_Rover,Defender,413.0,True,1.997,21,0.0,0.0,True,False,False
Land_Rover,Range_Rover_Velar,396.5,True,1.998,15,0.0,0.0,True,False,False
Land_Rover,Range_Rover_Sport,607.2,True,2.996,29,0.0,0.0,True,False,True
Land_Rover,Range_Rover_Sport,647.0,True,2.997,25,0.0,0.0,True,False,True
Land_Rover,Range_Rover,702.5,True,2.997,24,0.0,0.0,True,False,True
Land_Rover,Range_Rover,723.0,True,2.997,16,0.0,0.0,True,False,True
Land_Rover,Range_Rover,1054.0,True,4.395,43,0.0,0.0,True,False,False
Mahindra,Kuv_100,43.96,False,1.198,5,0.0,0.0,True,False,False
Mahindra,Xuv_300,58.065,False,1.197,6,0.0,0.0,True,False,False
Mahindra,Xuv_300,63.065,False,1.197,6,0.0,0.0,True,False,False
Mahindra,Xuv_300,69.065,False,1.197,6,0.0,0.0,True,False,False
Mahindra,Pick_Up_Sc,60.916,False,2.179,7,0.0,0.0,False,True,False
Mahindra,Pick_Up_Dc,69.046,False,2.179,7,0.0,0.0,False,True,False
Mahindra,Pick_Up_Dc,78.046,False,2.179,7,0.0,0.0,False,True,False
Mercedes_Benz,Classe_A,159.0,True,1.332,9,0.0,0.0,True,False,False
Mercedes_Benz,Classe_A,172.0,True,1.332,9,0.0,0.0,True,False,False
Mercedes_Benz,Classe_A,184.0,True,1.332,9,0.0,0.0,True,False,False
Mercedes_Benz,Classe_A_Berline,160.0,True,1.332,9,0.0,0.0,True,False,False
Mercedes_Benz,Classe_A_Berline,172.0,True,1.332,9,0.0,0.0,True,False,False
Mercedes_Benz,Classe_A_Berline,185.0,True,1.332,9,0.0,0.0,True,False,False
Mercedes_Benz,Cla,191.0,True,1.332,9,0.0,0.0,True,False,False
Mercedes_Benz,Cla,218.0,True,1.332,9,0.0,0.0,True,False,False
Mercedes_Benz,Classe_C,223.0,True,1.496,9,0.0,0.0,True,False,True
