Brand,Model,Price,Boite vitesse,Carrosserie,Couleur extérieure,Couleur intérieure,Cylindrée,Gouvernorat,Génération,Kilométrage,Mise en circulation,Moteur,Nombre de places,Nombre de portes,Puissance,Puissance cumulée,Puissance fiscale,Puissance thermique,Sellerie,Transmission,Énergie
MG,HS,103 000DT,Automatique,SUV/4x4,Blanc,Marron,1998cm³,Tunis,/EHS01/2021 - Aujourd'hui,35000km,04.2021,,5,4,,,15cv,,Cuir intégral,Traction,Essence
Volkswagen,Golf 7,72 000DT,Manuelle,Utilitaire,Noir,Gris,1000cm³,Tunis,VII Phase 2 5 Portes11/2016 - 01/2021,83000km,08.2018,,5,5,,,4cv,,Tissu,Propulsion,Essence
Mercedes-Benz,Classe C,161 290DT,Automatique,Berline,Noir,Noir,1598cm³,Tunis,(205) Berline03/2014 - 04/2021,135000km,06.2019,,5,5,,,8cv,,Cuir intégral,Traction,Essence
Mercedes-Benz,Classe S,98 000DT,Automatique,Berline,Noir,,,Tunis,(221) Berline10/2004 - 06/2009,147000km,01.2009,350 3.5 i V6 24V 7G-TRONIC,,,272ch dyn,,19cv,,Cuir intégral,Traction,Essence
Seat,Leon Cupra,87 000DT,Automatique,Compacte,Blanc,Gris,1984cm³,Bizerte,III (5F1) 5 portes09/2012 - 10/2016,135000km,08.2018,Cupra 2.0 TFSI 16V DSG6,5,5,280ch dyn,,17cv,,Alcantara,Traction,Essence
Ford,Ecosport,69 000DT,Manuelle,SUV/4x4,Noir,Noir,1000cm³,Sfax,Phase 311/2017 - Aujourd'hui,67000km,02.2022,1.0 SCTi EcoBoost 12V S&S,5,5,125ch dyn,,7cv,,Cuir partiel,Traction,Essence
MG,5,57 000DT,Automatique,Berline,Rouge,Noir,1498cm³,BenArous,10/2021 - Aujourd'hui,37000km,03.2022,,5,5,,,7cv,,Similicuir,Traction,Essence
Hyundai,i20,65 000DT,Manuelle,Citadine,Blanc,Noir,1200cm³,Sousse,III Phase 110/2020 - 11/2023,56000km,02.2022,1.2 i 16V,5,5,84ch dyn,,5cv,,Tissu,Traction,Essence
Haval,Jolion,86 000DT,Automatique,SUV/4x4,Noir,Autre,1449cm³,Ariana,Phase 106/2021 - 08/2024,59000km,11.2021,1.5 T,5,5,143ch dyn,,9cv,,Cuir intégral,Traction,Essence
BMW,Série 3,63 000DT,Automatique,Berline,Noir,Marron,1599cm³,BenArous,(F30) Berline01/2011 - 08/2015,170000km,01.2015,316i 1.6 16V,5,5,136ch dyn,,7cv,,Cuir partiel,Traction,Essence
Mercedes-Benz,GLC Coupé,420 000DT,Automatique,SUV/4x4,Noir,Noir,2000cm³,Tunis,(X254) SUV06/2022 - Aujourd'hui,0km,08.2024,300 2.0 i 16V EQ Boost 4MATIC 9G-TRONIC,5,4,258ch dyn,,15cv,,Alcantara,Intégrale,Essence
Mercedes-Benz,Classe C,105 000DT,Automatique,Berline,Gris argent,Autre,1600cm³,Tunis,(205) Berline03/2014 - 04/2021,200000km,10.2014,180 CGI 1.6 16V CGI 7G-TRONIC+,5,4,156ch dyn,,8cv,,Cuir partiel,Traction,Essence
Ssangyong,Tivoli,65 000DT,Automatique,SUV/4x4,Blanc,Autre,1600cm³,Tunis,03/2015 - 05/2019,4700km,01.2018,160 1.6 e-XGi 16V 2WD,5,5,128ch dyn,,7cv,,Cuir partiel,Propulsion,Essence
Mini,3 portes,63 000DT,Automatique,Compacte,Noir,Noir,1500cm³,Tunis,3 (F56) 3 Portes01/2014 - 02/2021,100000km,02.2017,Cooper 1.5 i 12V DCT7,4,2,136ch dyn,,5cv,,Cuir partiel,Propulsion,Essence
Toyota,Hilux Double Cabine,168 000DT,Automatique,Pickup,Noir,Noir,2400cm³,Tunis,(GUN 1./35)03/2016 - Aujourd'hui,140000km,06.2020,2.4 D-4D 16V DPF Xtra cabine Pickup double cabine RWD,5,4,150ch dyn,,8cv,,Tissu,Intégrale,Diesel
Land Rover,Range Rover Evoque,255 000DT,Automatique,SUV/4x4,Blanc,Rouge,2000cm³,Tunis,Evoque II05/2019 - Aujourd'hui,60000km,01.2022,P300e 1.5 Si4 12V 309 PHEV AWD BVA8,5,4,,309ch dyn,11cv,200ch dyn,Cuir intégral,Traction,Hybride rechargeable essence
Mercedes-Benz,Classe A Berline,132 000DT,Automatique,Citadine,Blanc,Noir,1500cm³,Tunis,(W177) Hatchback03/2018 - 02/2023,100000km,03.2020,180 d 1.5 d 8V 7G-DCT,5,4,116ch dyn,,6cv,,Alcantara,Traction,Essence
Land Rover,Range Rover Sport,385 000DT,Automatique,SUV/4x4,Noir,Noir,3000cm³,Tunis,Sport III05/2022 - Aujourd'hui,60000km,01.2021,P400 3.0 i 24V MHEV AWD,5,4,,,19cv,400ch dyn,Cuir intégral,Intégrale,Hybride rechargeable essence
Mercedes-Benz,CLA,220 000DT,Automatique,Berline,Blanc,Marron,2000cm³,Tunis,II (118) Coupé05/2019 - Aujourd'hui,0km,01.2024,200 1.3 i 16V GPF 7G-DCT,5,4,163ch dyn,,8cv,,Alcantara,Traction,Essence
Porsche,Cayenne Coupé,480 000DT,Automatique,SUV/4x4,Noir,Rouge,3000cm³,Tunis,9Y(E3) Coupé 9YB01/2019 - Aujourd'hui,70000km,03.2020,E-Hybrid 3.0 V6 24V 461 AWD  boite auto,5,4,,,22cv,340ch dyn,Cuir intégral,Traction,Hybride rechargeable essence
Mercedes-Benz,GLE Coupé,450 000DT,Automatique,SUV/4x4,Noir,Noir,3000cm³,Tunis,(W167) Coupé11/2019 - Aujourd'hui,30000km,03.2022,350 e 2.0 Ti 16V 333 EQ Power 4MATIC 9G-TRONIC,5,4,,333ch dyn,12cv,211ch dyn,Alcantara,Traction,Hybride rechargeable essence
Mercedes-Benz,Classe E,260 000DT,Automatique,Berline,Gris Shark,Autre,2000cm³,Tunis,(213) Phase 2 Berline10/2020 - 12/2022,70000km,01.2020,300 e 2.0 i 16V 320 EQ Power 4MATIC 9G-TRONIC,5,4,,320ch dyn,12cv,211ch dyn,Cuir partiel,Traction,Hybride rechargeable essence
Mercedes-Benz,GLC Coupé,270 000DT,Automatique,SUV/4x4,Gris Shark,Noir,2000cm³,Tunis,(C253) Coupé Phase 204/2019 - 10/2022,80000km,01.2021,300 e 2.0 i 16V 320 EQ Power 4MATIC 9G-TRONIC,5,4,,320ch dyn,11cv,211ch dyn,Cuir intégral,Intégrale,Hybride rechargeable essence
BMW,Série 4 Gran Coupé,145 000DT,Automatique,Berline,Gris Shark,Beige,2000cm³,Tunis,(F36) Gran Coupé03/2014 - 02/2017,120000km,02.2016,420i 2.0 i 16V,5,4,184ch dyn,,10cv,,Cuir intégral,Traction,Essence
Mercedes-Benz,CLA,115 000DT,Automatique,Berline,Blanc,Noir,1600cm³,Tunis,(117) Coupé Phase 202/2016 - 05/2019,130000km,02.2017,200 CDi 2.1 CDI 16V 7G-DCT,5,4,136ch dyn,,6cv,,Alcantara,Traction,Diesel
Audi,A3 Sportback,145 000DT,Automatique,Berline,Blanc,Noir,1500cm³,Tunis,Série 4 Sportback07/2019 - Aujourd'hui,900km,11.2023,,5,5,,,8cv,,Tissu,Intégrale,Hybride essence
Ford,Ecosport,60 000DT,Automatique,SUV/4x4,Bleu,Noir,998cm³,Tunis,Phase 311/2017 - Aujourd'hui,70580km,11.2018,1.0 SCTi EcoBoost 12V S&S,5,5,125ch dyn,,7cv,,Tissu,Traction,Essence
Volkswagen,Golf 7,49 000DT,Manuelle,Compacte,Noir,Noir,1200cm³,Ariana,VII 5 Portes08/2012 - 10/2016,270000km,11.2014,,5,5,,,6cv,,Cuir partiel,Traction,Essence
Mercedes-Benz,GLA,95 000DT,Automatique,SUV/4x4,Noir,Gris,1595cm³,Tunis,(156)11/2013 - 01/2017,104000km,06.2015,200 1.6 i 16V Turbo 7G-DCT,5,5,156ch dyn,,8cv,,Tissu,Traction,Essence
Peugeot,Landtrek Double Cabine,64 500DT,Manuelle,Autres,Gris argent,Noir,1910cm³,Tunis,03/2021 - Aujourd'hui,124000km,09.2021,,5,4,,,6cv,,Tissu,Traction,Diesel
KIA,Rio 5p,52 000DT,Manuelle,Compacte,Bleu,Noir,1248cm³,Tunis,IV11/2016 - 09/2020,91000km,01.2019,,5,5,,,5cv,,Tissu,Traction,Essence
KIA,Rio 5p,63 000DT,Manuelle,Compacte,Blanc,Noir,1197cm³,Tunis,IV Phase 209/2020 - Aujourd'hui,41000km,11.2021,1.2 i-CVVT 16V ISG,5,5,84ch dyn,,5cv,,Tissu,Traction,Essence
BMW,Série 1,81 000DT,Automatique,Compacte,Noir,Noir,1499cm³,Tunis,(F20) LCI 5 portes03/2015 - 09/2019,111074km,11.2019,,5,5,,,7cv,,Tissu,Traction,Essence
Hyundai,Creta,74 000DT,Automatique,SUV/4x4,Rouge,Noir,1497cm³,Tunis,I Phase 210/2018 - 09/2023,90500km,02.2020,1.6 l,5,5,123ch dyn,,6cv,,Similicuir,Traction,Essence
BMW,X4,243 000DT,Automatique,SUV/4x4,Noir,Marron,1998cm³,Tunis,(G02)04/2018 - 06/2021,50000km,09.2019,20i xDrive 2.0 i 16V,5,5,184ch dyn,,11cv,,Cuir intégral,Intégrale,Essence
Ford,Ecosport,66 000DT,Automatique,SUV/4x4,Blanc,Gris,998cm³,Tunis,Phase 311/2017 - Aujourd'hui,77000km,02.2021,1.0 SCTi EcoBoost 12V S&S,5,5,125ch dyn,,7cv,,Tissu,Traction,Essence
Audi,A3 Sportback,64 500DT,Manuelle,Compacte,Noir,Marron,1197cm³,Tunis,Série 3 Phase 205/2016 - 07/2019,154000km,12.2016,1.2 TFSI 16V S&S,5,5,110ch dyn,,6cv,,Similicuir,Traction,Essence
Mini,Countryman,45 000DT,Automatique,Compacte,Noir,Noir,1598cm³,Tunis,2 (R60) Countryman08/2010 - 07/2014,101000km,05.2012,Cooper 1.6 i 16V Steptronic,5,5,122ch dyn,,7cv,,Tissu,Traction,Essence
Seat,Arona,75 000DT,Automatique,SUV/4x4,Noir,Gris,1598cm³,Tunis,07/2017 - 06/2021,43000km,12.2020,,5,5,,,6cv,,Tissu,Traction,Essence
Nissan,Qashqai,37 000DT,Manuelle,SUV/4x4,Gris argent,Gris,1461cm³,Tunis,I Phase 2 (J10E)01/2010 - 11/2013,228000km,10.2010,1.5 dCi DPF 2WD,5,5,106ch dyn,,6cv,,Tissu,Traction,Diesel
Haval,Jolion,84 000DT,Automatique,SUV/4x4,Bleu,Beige,1497cm³,Tunis,Phase 106/2021 - 08/2024,35000km,07.2021,1.5 T,5,5,143ch dyn,,9cv,,Cuir intégral,Traction,Essence
Fiat,500,38 500DT,Automatique,Compacte,Rouge,Noir,1242cm³,Tunis,III Phase 307/2015 - Aujourd'hui,99000km,08.2017,,4,5,,,4cv,,Tissu,Traction,Essence
Mercedes-Benz,GLC,220 000DT,Automatique,SUV/4x4,Noir,Noir,1950cm³,Tunis,(X253) SUV07/2015 - 03/2019,39000km,05.2018,220 d 2.1 d 16V 4MATIC BlueTEC 9G-Tronic,5,5,170ch dyn,,9cv,,Cuir intégral,Traction,Diesel
Porsche,Macan,360 000DT,Automatique,SUV/4x4,Blanc,Rouge,1984cm³,Tunis,Phase 205/2018 - Aujourd'hui,22000km,08.2023,Turbo 2.0 16V AWD PDK,5,5,265ch dyn,,17cv,,Cuir intégral,Intégrale,Essence
Land Rover,Range Rover Sport,145 000DT,Automatique,SUV/4x4,Noir,Noir,2993cm³,Tunis,Sport II06/2013 - 01/2017,178000km,12.2013,,5,5,,,17cv,,Cuir intégral,Intégrale,Diesel
Renault,Clio,41 500DT,Manuelle,Compacte,Gris argent,Noir,899cm³,Tunis,V Phase 1 5 Portes09/2020 - 12/2022,122000km,06.2021,,5,5,,,5cv,,Similicuir,Traction,Essence
Peugeot,3008,69 000DT,Automatique,SUV/4x4,Bleu,Gris,1199cm³,Tunis,II Phase 209/2020 - Aujourd'hui,93000km,11.2020,,5,5,,,7cv,,Tissu,Traction,Essence
Volkswagen,Passat,87 000DT,Automatique,Berline,Noir,Gris,1395cm³,Tunis,B8 Berline08/2014 - 07/2019,101000km,10.2019,1.4 TSI 16V BMT DSG7,5,5,150ch dyn,,8cv,,Cuir partiel,Traction,Essence
Audi,A5 Sportback,142 000DT,Automatique,Berline,Gris anthracite,Noir,1984cm³,Tunis,II Sportback Phase 210/2019 - Aujourd'hui,102000km,01.2021,35 2.0 TFSi 16V Mild Hybrid S-Tronic7,5,5,150ch dyn,,8cv,,Cuir intégral,Traction,Essence
Land Rover,Discovery,114 000DT,Automatique,SUV/4x4,Gris anthracite,Noir,1999cm³,Tunis,IV06/2009 - 02/2017,176000km,09.2015,,5,5,,,15cv,,Cuir partiel,Intégrale,Essence
BMW,X1,175 000DT,Automatique,SUV/4x4,Noir,Marron,1499cm³,Tunis,(U11)07/2022 - Aujourd'hui,21000km,09.2023,18i sDrive 1.5 i 12V DKG7,5,5,156ch dyn,,9cv,,Cuir intégral,Traction,Essence
BMW,X5,170 000DT,Automatique,SUV/4x4,Noir,Marron,1995cm³,Tunis,,214000km,01.2018,,5,5,,,13cv,,Cuir intégral,Intégrale,Diesel
BMW,X3,220 000DT,Automatique,SUV/4x4,Noir,Noir,1995cm³,Tunis,(G01)09/2017 - 07/2021,69500km,06.2020,18d sDrive 2.0 d 16V Steptronic8,5,5,150ch dyn,,8cv,,Cuir intégral,Traction,Diesel
Mercedes-Benz,Classe C,90 000DT,Automatique,Berline,Gris argent,Noir,1595cm³,Tunis,(205) Berline03/2014 - 04/2021,176000km,02.2016,180 CGI 1.6 16V CGI 7G-TRONIC+,5,5,156ch dyn,,8cv,,Cuir intégral,Traction,Essence
Audi,A3 Berline,119 000DT,Automatique,Berline,Bleu,Noir,1395cm³,Tunis,Série 4 Limousine11/2019 - Aujourd'hui,56000km,07.2022,,5,5,,,8cv,,Tissu,Traction,Essence
Jaguar,XJL,150 000DT,Automatique,Berline,Vert,Marron,1999cm³,Tunis,01/2010 - Aujourd'hui,51500km,12.2014,,5,5,,,16cv,,Cuir intégral,Propulsion,Essence
Mercedes-Benz,GLC Coupé,245 000DT,Automatique,SUV/4x4,Noir,Gris,1991cm³,Tunis,(C253) Coupé Phase 204/2019 - 10/2022,70000km,03.2020,300 e 2.0 i 16V 320 EQ Power 4MATIC 9G-TRONIC,5,5,,320ch dyn,12cv,211ch dyn,Cuir partiel,Traction,Hybride rechargeable essence
Audi,A7 Sportback,295 000DT,Automatique,Berline,Noir,Noir,2995cm³,Tunis,(4K) Sportback10/2017 - Aujourd'hui,86000km,06.2022,55 3.0 TFSi V6 24V GPF Mild Hybrid Quattro S-Tronic7,5,5,340ch dyn,,23cv,,Velours,Intégrale,Essence
Land Rover,Range Rover,460 000DT,Automatique,SUV/4x4,Noir,Beige,4999cm³,Tunis,,52000km,11.2017,,4,5,,,43cv,,Cuir intégral,Intégrale,Essence
Mercedes-Benz,Classe A,137 000DT,Automatique,Compacte,Blanc,Noir,1332cm³,Tunis,(W177) Phase 2 Hatchback03/2023 - Aujourd'hui,37000km,03.2021,250 e 1.3 Ti 16V 218 EQ Power 8G-DCT,5,5,,218ch dyn,8cv,163ch dyn,Velours,Traction,Hybride rechargeable essence
BMW,Série 4 Coupé,265 000DT,Automatique,Coupé,Blanc,Marron,1998cm³,Tunis,,20500km,03.2023,,5,3,,,10cv,,Cuir intégral,Traction,Essence
Hyundai,Tucson,142 000DT,Automatique,SUV/4x4,Gris Shark,Beige,1600cm³,Tunis,IV10/2020 - Aujourd'hui,11500km,05.2023,1.6 TGDi 16V 4WD DCT7,5,5,150ch dyn,,10cv,,Cuir intégral,Intégrale,Essence
Chery,Tiggo 8,92 500DT,Automatique,SUV/4x4,Noir,Noir,1600cm³,Tunis,01/2021 - 05/2023,49500km,01.2022,,7,5,,,9cv,,Cuir intégral,Traction,Essence
Mercedes-Benz,GLA,182 000DT,Automatique,SUV/4x4,Blanc,Autre,1332cm³,Tunis,(X247)01/2020 - Aujourd'hui,91000km,07.2021,,5,5,,,9cv,,Cuir partiel,Traction,Essence
BMW,X2,132 000DT,Automatique,SUV/4x4,Rouge,Beige,1499cm³,Tunis,(F39)10/2017 - 12/2023,38000km,11.2018,,5,5,,,7cv,,Cuir intégral,Propulsion,Essence
BMW,Série 4 Gran Coupé,105 000DT,Automatique,Berline,Noir,Beige,1499cm³,Tunis,,108000km,11.2017,,5,5,,,7cv,,Cuir intégral,Traction,Essence
MG,HS,77 500DT,Automatique,SUV/4x4,Rouge,Beige,1490cm³,Tunis,/EHS01/2021 - Aujourd'hui,78000km,01.2021,,5,5,,,10cv,,Cuir partiel,Traction,Essence
Ford,Ecosport,64 000DT,Manuelle,SUV/4x4,Bleu,Noir,998cm³,Tunis,Phase 311/2017 - Aujourd'hui,46500km,12.2021,,5,5,,,8cv,,Tissu,Traction,Essence
Ford,Kuga,71 500DT,Manuelle,SUV/4x4,Noir,Noir,1498cm³,Tunis,II Phase 209/2016 - 03/2020,93000km,04.2019,,5,5,,,8cv,,Tissu,Traction,Essence
Volkswagen,Golf 7,62 500DT,Manuelle,Compacte,Gris argent,Autre,999cm³,Tunis,VII Phase 2 5 Portes11/2016 - 01/2021,98500km,10.2017,,5,5,,,5cv,,Cuir partiel,Traction,Essence
KIA,Sportage,103 000DT,Automatique,SUV/4x4,Gris anthracite,Noir,1591cm³,Tunis,IV Phase 207/2018 - 12/2021,77000km,06.2021,,5,5,,,8cv,,Cuir partiel,Traction,Essence
KIA,Sportage,76 000DT,Automatique,SUV/4x4,Blanc,Beige,1591cm³,Tunis,IV Phase 207/2018 - 12/2021,123000km,04.2019,,5,5,,,8cv,,Cuir partiel,Traction,Essence
Haval,H6,72 000DT,Automatique,SUV/4x4,Blanc,Marron,1499cm³,Tunis,II01/2019 - 06/2021,99000km,09.2019,1.5 T 143cv boite auto,5,5,143ch dyn,,9cv,,Cuir intégral,Traction,Essence
Mercedes-Benz,Classe C,215 000DT,Automatique,Berline,Gris Shark,Gris,1496cm³,Tunis,(206) Berline04/2021 - Aujourd'hui,35000km,02.2022,180 1.5 i 16V EQ Boost 9G-TRONIC,5,5,170ch dyn,,9cv,,Cuir partiel,Traction,Essence
Mazda,3,46 000DT,Manuelle,Citadine,Noir,Noir,1496cm³,Tunis,III Hatchback Phase 210/2016 - 03/2019,130000km,05.2017,,5,5,,,6cv,,Tissu,Traction,Essence
Ford,Ecosport,66 000DT,Manuelle,SUV/4x4,Gris anthracite,Autre,998cm³,Tunis,Phase 311/2017 - Aujourd'hui,94000km,12.2020,,5,5,,,7cv,,Similicuir,Traction,Essence
Mercedes-Benz,GLB,175 000DT,Automatique,SUV/4x4,Noir,Noir,1332cm³,Tunis,(X247)08/2019 - Aujourd'hui,50000km,06.2022,200 1.4 i 16V 7G-TRONIC,5,4,163ch dyn,,9cv,,Velours,Traction,Essence
Peugeot,5008,78 000DT,Manuelle,Autres,Autre,Noir,1199cm³,Sousse,II01/2017 - 08/2020,160000km,12.2019,,7,5,,,7cv,,Cuir intégral,Traction,Essence
Mercedes-Benz,Classe E,168 000DT,Automatique,Berline,Blanc,Beige,1597cm³,Sousse,(213) Berline01/2016 - 09/2020,158000km,08.2020,200 d 1.6 d 16V 9G-TRONIC,5,5,160ch dyn,,8cv,,Similicuir,Traction,Diesel
Mercedes-Benz,GLA,168 000DT,Automatique,SUV/4x4,Blanc,Noir,1400cm³,Sfax,(X247)01/2020 - Aujourd'hui,105000km,09.2021,200 1.4 i 16V 7G-DCT,5,5,163ch dyn,,9cv,,Velours,Traction,Essence
Ford,Focus,53 000DT,Automatique,Citadine,Blanc,Gris,999cm³,Béja,III Hatchback Phase 209/2014 - 05/2018,83000km,01.2017,,5,4,,,7cv,,Tissu,Traction,Essence
KIA,Rio Berline,47 000DT,Manuelle,Autres,Noir,Noir,899cm³,Sfax,III Sedan02/2012 - 10/2018,115000km,01.2017,,5,5,,,5cv,,Tissu,Traction,Essence
Mitsubishi,L200 Sportero,152 000DT,Automatique,Pickup,Blanc,Noir,2450cm³,Ariana,III (KK/KL) Phase 207/2019 - Aujourd'hui,35000km,12.2022,,5,4,,,8cv,,Tissu,Intégrale,Diesel
Dacia,Logan,54 000DT,Manuelle,Citadine,Gris Shark,Noir,1200cm³,Ariana,II Phase 2 Berline01/2017 - Aujourd'hui,20000km,09.2021,0.9 TCe 12V eco2,5,4,90ch dyn,,5cv,,Tissu,Traction,Essence
Mahindra,KUV 100,34 000DT,Manuelle,Citadine,Blanc,Marron,1200cm³,Ariana,01/2016 - Aujourd'hui,20000km,05.2021,1.2 82cv,5,4,82ch dyn,,5cv,,Cuir intégral,Intégrale,Essence
Ssangyong,Korando,75 000DT,Automatique,SUV/4x4,Bleu,Noir,1600cm³,Ariana,II (CK)10/2010 - 01/2019,160000km,04.2021,200 2.0 i 4WD,5,4,150ch dyn,,7cv,,Cuir intégral,Propulsion,Essence
Citroën,Nemo,28 000DT,Manuelle,Autres,Noir,Noir,1400cm³,Ariana,12/2007 - 01/2018,130000km,06.2018,,2,4,,,5cv,,Tissu,Propulsion,Diesel
BMW,Série 4 Coupé,225 000DT,Automatique,Coupé,Noir,Beige,2000cm³,Tunis,,10000km,08.2021,,5,3,,,10cv,,Cuir intégral,Traction,Essence
Hyundai,Grand i10,41 900DT,Manuelle,Compacte,Gris argent,Noir,1200cm³,Tunis,II phase 111/2020 - 11/2023,80000km,02.2021,,5,5,,,5cv,,Tissu,Traction,Essence
MG,ZS,57 000DT,Manuelle,SUV/4x4,Rouge,Noir,1500cm³,Tunis,ZS SUV03/2017 - 11/2021,49000km,08.2019,,5,5,,,7cv,,Cuir intégral,Propulsion,Essence
BMW,X1,79 000DT,Automatique,SUV/4x4,Noir,Beige,1500cm³,Tunis,(F48)09/2015 - 06/2019,69000km,05.2017,,5,5,,,7cv,,Cuir intégral,Traction,Essence
Nissan,Micra,33 900DT,Manuelle,Compacte,Rouge,Gris,1200cm³,Tunis,V (K14FR)12/2016 - Aujourd'hui,160000km,11.2015,,5,5,,,5cv,,Tissu,Traction,Essence
Citroën,C4 Cactus,58 000DT,Manuelle,Compacte,Gris Shark,Noir,1500cm³,Tunis,Phase 212/2017 - Aujourd'hui,148000km,01.2020,1.5 BlueHDi 16V,5,4,102ch dyn,,6cv,,Velours,Intégrale,Diesel
Fiat,Fiorino,36 900DT,Manuelle,Citadine,Blanc,Noir,1300cm³,Tunis,(225) Phase 202/2016 - Aujourd'hui,65000km,03.2022,,2,2,,,5cv,,Tissu,Traction,Diesel
Volkswagen,Polo Sedan,46 500DT,Manuelle,Berline,Noir,Noir,1400cm³,Tunis,V Berline05/2010 - 12/2023,150000km,05.2021,,5,5,,,5cv,,Similicuir,Traction,Essence
BMW,X6,95 000DT,Automatique,SUV/4x4,Noir,Beige,3000cm³,Ariana,(E71)05/2008 - 06/2014,190000km,11.2010,30d xDrive 3.0 d 24V,4,4,235ch dyn,,15cv,,Similicuir,Traction,Diesel
BMW,Série 7,92 000DT,Automatique,Berline,Noir,Beige,5000cm³,Ariana,(G11) Berline09/2015 - Aujourd'hui,150000km,11.2009,740i 3.0 i 24V,5,4,326ch dyn,,31cv,,Cuir intégral,Traction,Essence
Renault,Clio,43 500DT,Manuelle,Coupé,Blanc,Noir,1200cm³,Ariana,IV Société Estate10/2012 - 10/2016,80000km,08.2021,0.9 TCe 12V eco2 S&S,5,4,90ch dyn,,5cv,,Tissu,Propulsion,Essence
Citroën,C4,39 000DT,Manuelle,Compacte,Blanc,Noir,1600cm³,Tunis,II (B7)09/2010 - 06/2018,222000km,10.2014,1.6 e-HDi FAP S&S,5,4,112ch dyn,,6cv,,Similicuir,Intégrale,Diesel
Seat,Ibiza,49 900DT,Manuelle,Compacte,Gris Shark,Gris,1000cm³,Tunis,V Phase 207/2021 - Aujourd'hui,45000km,10.2021,,5,5,,,4cv,,Tissu,Propulsion,Essence
Mini,5 portes,51 000DT,Manuelle,Coupé,Bleu,Gris,1200cm³,Tunis,3 (F55) 5 Portes09/2014 - 02/2021,160000km,04.2016,,5,5,,,5cv,,Cuir intégral,Traction,Essence
Mercedes-Benz,CLA,78 000DT,Automatique,Berline,Gris argent,Noir,1800cm³,Tunis,(117) Coupé02/2013 - 01/2016,160000km,10.2013,200 1.6 i 16V Turbo 7G-DCT,5,4,156ch dyn,,8cv,,Alcantara,Intégrale,Essence
Hyundai,Grand i10,44 500DT,Manuelle,Compacte,Noir,Noir,1000cm³,Tunis,II phase 111/2020 - 11/2023,19000km,03.2022,,5,5,,,4cv,,Tissu,Traction,Essence
KIA,Picanto,42 900DT,Manuelle,Compacte,Gris argent,Noir,1200cm³,Tunis,(JA) Phase 207/2020 - Aujourd'hui,90000km,01.2022,1.2 DPI 16V ISG,5,5,84ch dyn,,5cv,,Tissu,Traction,Essence
Haval,H6,78 500DT,Automatique,SUV/4x4,Marron,Marron,1499cm³,Tunis,II01/2019 - 06/2021,80000km,08.2020,1.5 T 143cv boite auto,5,5,143ch dyn,,9cv,,Cuir intégral,Traction,Essence
Renault,Megane,50 000DT,Manuelle,Coupé,Gris argent,Noir,1200cm³,Tunis,IV Hatchback11/2015 - 06/2020,155000km,03.2020,1.2 TCe 16V,5,5,130ch dyn,,7cv,,Cuir partiel,Propulsion,Essence
Mercedes-Benz,CLS,85 000DT,Automatique,Citadine,Beige,Noir,3000cm³,Ariana,(218) Coupé09/2010 - 06/2014,250000km,09.2011,250 CDi 2.1 CDI 16V 7G-TRONIC BlueEFFICIENCY,5,4,204ch dyn,,10cv,,Cuir intégral,Traction,Diesel
Hyundai Trucks,H350,74 000DT,Manuelle,Autres,Noir,Noir,1900cm³,Ariana,04/2015 - Aujourd'hui,26000km,04.2022,,3,4,,,10cv,,Tissu,Propulsion,Diesel
Volkswagen,Golf 7,57 000DT,Automatique,Berline,Noir,Noir,1200cm³,Ariana,VII Phase 2 5 Portes11/2016 - 01/2021,120000km,08.2019,,5,4,,,5cv,,Tissu,Propulsion,Essence
Jeep,Compass,65 000DT,Automatique,SUV/4x4,Gris argent,Marron,1400cm³,Tunis,I Phase 205/2011 - 06/2017,65000km,03.2016,,5,5,,,10cv,,Cuir intégral,Traction,Essence
Jaguar,XF,135 000DT,Automatique,Berline,Gris argent,Beige,2000cm³,Tunis,(X260) Berline04/2015 - 05/2020,41000km,01.2018,,5,5,,,16cv,,Cuir partiel,Traction,Essence
Mercedes-Benz,Classe E,145 000DT,Automatique,Berline,Blanc,Gris,1600cm³,Tunis,(213) Berline01/2016 - 09/2020,167000km,02.2018,,5,5,,,9cv,,Cuir intégral,Traction,Essence
Volkswagen,Golf 6,46 800DT,Manuelle,Compacte,Bleu,Rouge,1400cm³,Tunis,VI 5 Portes10/2008 - 12/2015,180000km,10.2012,,5,5,,,5cv,,Cuir partiel,Traction,Essence
Peugeot,2008,49 000DT,Automatique,SUV/4x4,Rouge,Noir,1200cm³,Tunis,(A94) 5HB04/2013 - 10/2019,61000km,08.2018,1.2 THP Puretech 12V EAT6 S&S,5,5,110ch dyn,,6cv,,Tissu,Intégrale,Essence
Seat,Leon,52 000DT,Automatique,Compacte,Gris Shark,Noir,1200cm³,Tunis,III (5F1) 5 portes09/2012 - 10/2016,96000km,10.2014,1.2 TSI 16V DSG7 S&S,5,5,105ch dyn,,6cv,,Tissu,Intégrale,Essence
Mercedes-Benz,Classe E,118 000DT,Automatique,Berline,Bleu,Gris,1600cm³,Tunis,(213) Berline01/2016 - 09/2020,154000km,07.2018,180 1.5 16V 9G-TRONIC  Boite auto,5,5,156ch dyn,,9cv,,Cuir intégral,Traction,Essence
Mercedes-Benz,Classe E,128 000DT,Automatique,Berline,Noir,Marron,1600cm³,Tunis,(213) Berline01/2016 - 09/2020,107000km,07.2018,180 1.5 16V 9G-TRONIC  Boite auto,5,5,156ch dyn,,9cv,,Cuir intégral,Traction,Essence
