Brand,Model,Price,Boite vitesse,Carrosserie,Couleur extérieure,Couleur intérieure,Cylindrée,Gouvernorat,Génération,Kilométrage,Mise en circulation,Moteur,Nombre de places,Nombre de portes,Puissance,Puissance cumulée,Puissance fiscale,Puissance thermique,Sellerie,Transmission,Énergie
Volkswagen,Golf 6,45 000DT,Manuelle,Citadine,Blanc,Noir,1599cm³,Tunis,VI 5 Portes10/2008 - 12/2015,240000km,11.2012,,5,5,,,6cv,,Similicuir,Traction,Diesel
Ford,Ranger Raptor,228 000DT,Automatique,SUV/4x4,Noir,Noir,2000cm³,Tunis,III (TKE) Phase 310/2019 - Aujourd'hui,100000km,02.2022,,5,5,,,7cv,,Cuir intégral,Traction,Diesel
BMW,Série 4 Coupé,130 000DT,Automatique,Coupé,Bleu,Noir,1000cm³,Tunis,,140000km,01.2021,,5,5,,,7cv,,Tissu,Traction,Essence
Mercedes-Benz,Classe B,48 000DT,Manuelle,SUV/4x4,Blanc,Noir,1600cm³,Tunis,(W246)09/2011 - 08/2014,100000km,08.2014,,5,5,,,7cv,,Tissu,Traction,Essence
MG,ZS,75 000DT,Automatique,SUV/4x4,Orange,Noir,1399cm³,Tunis,ZS SUV Phase 211/2021 - Aujourd'hui,80000km,02.2022,,5,5,,,7cv,,Cuir partiel,Traction,Essence
Land Rover,Range Rover Evoque,210 000DT,Automatique,SUV/4x4,Noir,Gris,2555cm³,Tunis,Evoque II05/2019 - Aujourd'hui,60000km,08.2019,D150 2.0 Td4 16V MHEV AWD,5,5,150ch dyn,,8cv,,Tissu,Traction,Diesel
Renault,Kadjar,68 000DT,Manuelle,SUV/4x4,Noir,Noir,1200cm³,Tunis,phase 211/2018 - Aujourd'hui,70000km,09.2019,,5,5,,,7cv,,Tissu,Traction,Essence
Mazda,3,56 000DT,Manuelle,Citadine,Noir,Gris,1400cm³,Tunis,III Hatchback Phase 210/2016 - 03/2019,103000km,09.2017,,5,5,,,6cv,,Cuir intégral,Traction,Essence
Audi,Q8,398 000DT,Automatique,SUV/4x4,Bleu,Gris,3000cm³,Tunis,02/2018 - Aujourd'hui,16000km,08.2021,,5,5,,,23cv,,Cuir intégral,Traction,Essence
Mercedes-Benz,Classe C coupé,173 000DT,Automatique,Coupé,Gris Shark,Rouge,1599cm³,Tunis,(205) Coupé09/2015 - 04/2021,50000km,09.2019,,5,3,,,9cv,,Cuir intégral,Traction,Essence
MG,ZS,78 000DT,Manuelle,SUV/4x4,Noir,Noir,1200cm³,Tunis,ZS SUV Phase 211/2021 - Aujourd'hui,35000km,07.2022,,5,5,,,7cv,,Cuir intégral,Traction,Essence
Suzuki,Baleno,40 000DT,Automatique,Citadine,Rouge,Noir,1200cm³,Tunis,II (EWB)11/2015 - Aujourd'hui,160000km,07.2017,,5,5,,,5cv,,Tissu,Traction,Essence
KIA,Sportage,95 000DT,Automatique,SUV/4x4,Bleu,Beige,1599cm³,Tunis,IV Phase 207/2018 - 12/2021,69000km,11.2019,,5,5,,,8cv,,Cuir intégral,Traction,Essence
Ford,Kuga,69 000DT,Manuelle,SUV/4x4,Gris Shark,Noir,1599cm³,Tunis,II Phase 209/2016 - 03/2020,100000km,10.2017,,5,5,,,8cv,,Cuir partiel,Traction,Essence
Mercedes-Benz,CLS,119 000DT,Automatique,Berline,Noir,Marron,2500cm³,Tunis,(218) Coupé09/2010 - 06/2014,160000km,09.2011,,5,5,,,11cv,,Cuir intégral,Traction,Diesel
Mercedes-Benz,GLA,185 000DT,Automatique,SUV/4x4,Noir,Noir,1599cm³,Tunis,(X247)01/2020 - Aujourd'hui,40000km,03.2022,,5,5,,,7cv,,Alcantara,Traction,Essence
Seat,Arona,73 500DT,Manuelle,Citadine,Noir,Noir,1550cm³,Tunis,Phase 206/2021 - Aujourd'hui,26000km,07.2021,,5,5,,,6cv,,Tissu,Traction,Essence
Toyota,Corolla,71 000DT,Automatique,Citadine,Blanc,Noir,1200cm³,Tunis,,90000km,08.2021,,5,5,,,6cv,,Tissu,Traction,Essence
Haval,H6,79 000DT,Automatique,SUV/4x4,Marron,Noir,1559cm³,Tunis,II01/2019 - 06/2021,115000km,03.2020,1.5 T 143cv boite auto,5,5,143ch dyn,,9cv,,Cuir intégral,Traction,Essence
Skoda,Superb,125 000DT,Automatique,Berline,Noir,Noir,1599cm³,Tunis,,30000km,09.2021,,5,5,,,8cv,,Cuir intégral,Traction,Essence
MG,6,79 000DT,Automatique,Berline,Gris argent,Noir,1499cm³,Tunis,MG604/2011 - Aujourd'hui,22000km,09.2021,,5,5,,,8cv,,Cuir intégral,Traction,Essence
Mercedes-Benz,GLC Coupé,189 000DT,Automatique,SUV/4x4,Blanc,Noir,2143cm³,Tunis,(C253) Coupé06/2016 - 03/2019,190000km,04.2017,220 d 2.1 d 16V 4MATIC 9G-Tronic,5,5,163ch dyn,,9cv,,Cuir intégral,Traction,Diesel
Mercedes-Benz,Classe C,89 000DT,Automatique,Berline,Noir,Beige,1599cm³,Tunis,(205) Berline03/2014 - 04/2021,170000km,01.2016,180 1.6 i 16V 9G-TRONIC,5,5,156ch dyn,,8cv,,Cuir intégral,Traction,Essence
Mercedes-Benz,GLC Coupé,278 000DT,Automatique,SUV/4x4,Noir,Noir,2000cm³,Tunis,(C253) Coupé Phase 204/2019 - 10/2022,69000km,08.2020,300 e 2.0 i 16V 320 EQ Power 4MATIC 9G-TRONIC,5,5,,320ch dyn,12cv,211ch dyn,Cuir intégral,Traction,Hybride rechargeable essence
Mercedes-Benz,Classe E,135 000DT,Automatique,Berline,Noir,Beige,1599cm³,Tunis,(213) Berline01/2016 - 09/2020,90000km,08.2018,,5,5,,,9cv,,Cuir intégral,Traction,Essence
